DBN,School Name,NumberofTestTakers,CriticalReadingMean,MathematicsMean,WritingMean
24Q530,INTERNATL HS@LA GUARDIA COMM C ,Medio,355,428,359
24Q550,HIGH SCHOOL FOR ARTS/BUSINESS ,Alto,363,372,363
24Q560,ROBERT F WAGNER JR SECONDARY ,Medio,420,440,421
24Q600,Queens Vocational & Tech High School ,Alto,415,428,401
24Q610,Aviation Career & Technical Education High School ,Alto,444,494,427
24Q744,VOYAGES PREPARATORY HIGH SCHOOL ,Bajo,416,413,364
25Q252,Queens School of Inquiry ,Bajo,,,
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL ,Medio,325,415,311
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIE ,Medio,438,485,442
25Q285,WORLD JOURNALISM PREPARATORY SCHOOL ,Medio,429,425,421
25Q425,JOHN BOWNE HIGH SCHOOL ,Alto,391,423,389
25Q460,FLUSHING HIGH SCHOOL ,Alto,372,398,366
25Q467,YABC AT FLUSHING HIGH SCHOOL ,Bajo,,,
25Q525,Townsend Harris High School at Queens College ,Alto,637,644,642
25Q670,Robert F Kennedy Community High School ,Medio,449,471,462
25Q792,North Queens Community High School ,Bajo,434,422,422
26Q415,BENJAMIN CARDOZO HIGH SCHOOL ,Alto,486,551,492
26Q430,FRANCIS LEWIS HIGH SCHOOL ,Alto,457,530,454
26Q435,MARTIN VAN BUREN HIGH SCHOOL ,Alto,402,411,398
26Q495,BAYSIDE HIGH SCHOOL ,Alto,472,531,467
26Q566,Queens High School-Teaching Liberal Arts Sciences ,Alto,438,455,433
27Q260,FREDERICK DOUGLASS ACADEMY VI ,Medio,393,390,387
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH ,Medio,455,423,420
27Q302,"Queens High School for Information, Research, and Te ",Bajo,,,
27Q308,Robert H. Goddard High School for Communication Art ,Bajo,,,
27Q309,ACADEMY OF MEDICAL TECHNOLOGY ,Bajo,,,
27Q323,Region Five Scholars' Academy ,Bajo,,,
27Q400,AUGUST MARTIN HIGH SCHOOL ,Alto,377,372,362
27Q410,BEACH CHANNEL HIGH SCHOOL ,Alto,393,390,380
27Q465,FAR ROCKAWAY HIGH SCHOOL ,Medio,350,369,360
27Q475,RICHMOND HILL HIGH SCHOOL ,Alto,380,401,380
27Q480,JOHN ADAMS HIGH SCHOOL ,Alto,399,424,404
27Q487/27Q481,YABC AT JOHN ADAMS HIGH SCHOOL ,Bajo,,,
27Q650,"HS for Construction Trades, Engineering and Arch ",Medio,421,464,424
28Q310,Queens Collegiate: A College Board School ,Bajo,,,
28Q338,SATELLITE ACADEMY ,Bajo,346,351,338
